------------ PCB NO.: 09288-SB
------------ ITEM   : 55.4EX01.S05G
------------ Model  : DW30 PT MB 09288-SB DIS-1 (S)
 
64.10025.6DL     CHIP RES 10K F 1/16W 0402             10 PR4613
64.10025.6DL     CHIP RES 10K F 1/16W 0402             10 PR4513
64.10025.6DL     CHIP RES 10K F 1/16W 0402             10 PR4511
64.11025.6DL     CHIP RES 11K F 1/16W 0402              1 PR4784
64.11035.6DL     CHIP RES 110K F 1/16W 0402             1 PR5326
64.12025.6DL     CHIP RES 12K F 1/16W 0402              2 PR5108
64.12025.6DL     CHIP RES 12K F 1/16W 0402              2 PR5105
64.12405.6DL     CHIP RES 124 F 1/16W 0402              1 R8106
64.13005.6DL     CHIP RES 130 F 1/16W 0402              1 R911
64.13025.6DL     CHIP RES 13K F 1/16W 0402              1 PR5007
64.14725.6DL     CHIP RES 14.7K F 1/16W 0402            1 R4213
