------------ PCB NO.: 07238-SC
------------ ITEM   : 55.4X801.S21G
------------ Model  : M09-F2 07238-SC MB INTEL 5756
 
63.47234.1DL     CHIP RES 4.7K J 1/16W 0402            6 R47
63.47234.1DL     CHIP RES 4.7K J 1/16W 0402            6 R2202
63.47234.1DL     CHIP RES 4.7K J 1/16W 0402            6 R169
63.47234.1DL     CHIP RES 4.7K J 1/16W 0402            6 PR424
63.47333.15L     CHIP RES 47K J 1/10W 0603             2 PR426
63.47333.15L     CHIP RES 47K J 1/10W 0603             2 PR418
63.47334.1DL     CHIP RES 47K J 1/16W 0402             3 R167
63.47334.1DL     CHIP RES 47K J 1/16W 0402             3 PR34
63.47334.1DL     CHIP RES 47K J 1/16W 0402             3 PR12
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R85
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R65
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R62
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R606
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R503
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R339
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R338
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R337
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R333
63.56034.1DL     CHIP RES 56 J 1/16W 0402             10 R128
63.75234.1DL     CHIP RES 7.5K J 1/16W 0402            2 R27
63.75234.1DL     CHIP RES 7.5K J 1/16W 0402            2 R21
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R669
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R613
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R612
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R402
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R401
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R395
63.82234.1DL     CHIP RES 8.2K J 1/16W 0402            7 R239
63.91434.1DL     CHIP RES 910K J 1/16W 0402            1 R394
63.R0003.161     CHIP RES 0 1/10W J 0805               1 R8149
63.R0031.16L     CHIP RES 0 J 1/8W 0805                3 R98
63.R0031.16L     CHIP RES 0 J 1/8W 0805                3 PR646
63.R0031.16L     CHIP RES 0 J 1/8W 0805                3 PR640
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R8150
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R80
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R79
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R78
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R77
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R725
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R724
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R723
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R702
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R697
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R674
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R658
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R628
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R627
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R622
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R621
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R615
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R614
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R597
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R596
63.R0034.1DL     CHIP RES 0 J 1/16W 0402             100 R595
